********** Monthly MOD08_M3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean_Mean)
Selected time period: Jan2013 - Dec2013
Fill value:  -9999.0
User selected area:  (Lat: 23.0N - 55.0N) (Lon: 130.0W - 60.0W)
Actual output area:  (Lat: 23.5N - 54.5N) (Lon: 129.5W - 60.5W)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean_Mean
(degrees)    (degrees)      [unitless]
36.500     -104.500           0.056
36.500     -103.500           0.105
36.500     -102.500           0.127
36.500     -101.500           0.138
36.500     -100.500           0.129
36.500      -99.500           0.071
36.500      -98.500           0.056
36.500      -97.500           0.063
36.500      -96.500           0.066
36.500      -95.500           0.086
36.500      -94.500           0.072
36.500      -93.500           0.060
36.500      -92.500           0.059
36.500      -91.500           0.061
36.500      -90.500           0.101
36.500      -89.500           0.123
36.500      -88.500           0.078
36.500      -87.500           0.073
36.500      -86.500           0.076
36.500      -85.500           0.059
36.500      -84.500           0.049
36.500      -83.500           0.056
36.500      -82.500           0.059
36.500      -81.500           0.049
36.500      -80.500           0.049
36.500      -79.500           0.048
36.500      -78.500           0.053
36.500      -77.500           0.059
36.500      -76.500           0.088
36.500      -75.500           0.130
36.500      -74.500           0.133
36.500      -73.500           0.139
36.500      -72.500           0.145
36.500      -71.500           0.150
36.500      -70.500           0.145
36.500      -69.500           0.145
36.500      -68.500           0.152
36.500      -67.500           0.146
36.500      -66.500           0.145
36.500      -65.500           0.147
36.500      -64.500           0.153
36.500      -63.500           0.158
36.500      -62.500           0.156
36.500      -61.500           0.146
36.500      -60.500           0.150
37.500     -129.500           0.119
37.500     -128.500           0.127
37.500     -127.500           0.125
37.500     -126.500           0.132
37.500     -125.500           0.133
37.500     -124.500           0.124
37.500     -123.500           0.118
37.500     -122.500           0.076
37.500     -121.500           0.053
37.500     -120.500           0.066
37.500     -119.500           0.058
37.500     -118.500           0.217
37.500     -117.500           0.301
37.500     -116.500           0.296
37.500     -115.500           0.326
37.500     -114.500           0.239
37.500     -113.500           0.125
37.500     -112.500           0.076
37.500     -111.500           0.089
37.500     -110.500           0.079
