"","easting","northing","pm25"
"242",1240988.96671905,204325.095103053,6.74902
"243",957853.117703322,152077.914382347,9.682051
"244",1221338.13864997,296403.851876688,11.088136
"245",1203836.27908909,327455.864820519,13.771698
"246",119866.229065166,-359744.757174902,7.432
"247",-247818.194476099,-469911.17107497,5.31
"248",-352895.203786963,-315858.712412341,5.006122
"249",-133155.588495712,-374698.788345862,7.933333
"250",2101.23194406506,-310224.933510815,9.3875
"251",-1996981.26083214,982651.083430057,1.3
"252",-2245364.21565462,688088.302048699,2.181818
"253",-2098582.2231669,737019.362537386,1.019608
"254",-2050783.16729458,872333.886769393,1.146
"255",-2052065.25841648,1023045.98272679,7.887129
"256",-1751078.82438638,908645.174648668,2.454902
"257",-1627265.73672422,862081.484142208,3.204082
"258",1578209.75858875,264418.708168318,8.575439
"259",1346264.57488236,281385.511498078,10.930303
"260",1356731.53540319,267273.70456696,12.603279
"261",1678477.75005644,338655.56365513,9.603333
"262",1436263.49180369,280332.626636495,11.419672
"263",1511406.91749877,351780.000155834,8.47069
"264",1708400.19701626,282907.39356118,10.103333
"265",1609142.39207015,308030.83426582,11.996552
"266",1307382.13433009,463568.363121772,8.493333
"267",1680885.40162834,459796.347314336,8.816667
"268",1660539.91399596,296393.569923836,11.584746
"269",1724065.83317831,376860.269063658,10.062295
"270",1761480.31512643,312966.234670249,10.02381
"271",1754424.43000216,303511.429746433,10.495
"272",1766837.47144708,319304.779013697,9.283146
"273",1308409.91594231,272486.835927661,9.256897
"274",1387261.41886144,270640.924256332,10.301639
"275",1627923.56856619,280060.992948389,10.483051
"276",2012828.60521149,589082.411166487,7.155833
"277",1520294.44643863,-535724.287335099,6.964
"278",1438411.93553147,-361668.544095445,8.415254
"279",1234558.98428069,-369113.653194199,10.231148
"280",1379047.9329203,-430476.585538315,9.0875
"281",-602554.691058461,530921.497326009,2.234043
"282",-477188.323461658,542600.769703048,2.377551
"283",-56492.579091036,505305.783707996,8.056731
"284",1084964.54517529,-302034.790011597,5.044681
"285",828275.768920175,-271308.372522599,9.914754
"286",971664.169761436,-381162.075649963,9.932727
"287",1085497.71348489,-258565.783398217,9.868852
"288",774079.406880182,-394821.273497406,8.815254
"289",540861.799955378,-409464.018090709,12.4
"290",558197.772370156,-408255.449220533,9.578261
"291",-701350.899391125,-1048132.67995878,5.252941
"292",-118397.553698104,-1433203.06735003,11.072
"293",-834494.420856153,-754798.800605592,7.717778
"294",-74764.3215363751,-690463.895086376,10.577273
"295",-80564.5315866996,-685343.912415421,9.798947
"296",-96613.8222702404,-722649.068286354,8.817241
"297",-990591.539894278,-745792.855418899,10.072072
"298",65513.8983840387,-1009118.77026059,10.716949
"299",84970.3165996932,-1034562.25073145,9.501543
"300",171983.045699786,-700737.964548633,9.038333
"301",-146211.091186284,-1239741.77959815,9.106897
"302",-180688.697418978,-942973.591934899,6.933333
"303",-1324986.15692246,326965.444382049,10.015
"304",-1413245.19395791,-27722.2906466601,2.022
"305",-1327178.07944475,308568.473579774,10.84
"306",-1195261.41353229,30636.809710462,2.439216
"307",-1321567.37235851,263058.476977193,11.496667
"308",-1506280.91992939,-57945.3375814228,2.530612
"309",-1324342.61098488,33828.1437587311,2.278431
"310",1817479.81866217,845743.397737109,3.15
"311",1792218.26133811,833726.536720283,6.381915
"312",1858085.61057456,675803.500737168,2.91
"313",1623802.63914034,5918.36437862125,9.378947
"314",1514039.53221779,93171.1918860226,4.616667
"315",1440137.88239709,-21919.0755190277,6.027451
"316",-2106935.53074853,1366412.61122962,1.6
"317",-1998543.408305,1298327.28514933,1.695294
"318",-2046025.97182145,1038835.85652163,7.3225
"319",-2046212.82472244,1039070.27943297,14.7
"320",-1964496.64498402,1237229.29436012,5.628196
"321",-1905569.62066411,1200549.37917138,1.266
"322",-1926591.76457902,1006197.12360996,3.792157
"323",-1926320.59868079,1116818.03562469,0.83
"324",-1767462.8550863,1276207.1538072,1.026
"325",-1987019.63499678,1199640.09580076,9.443636
"326",-1976562.15389073,1146903.89031982,1.794118
"327",-1939246.29387181,1286119.48730996,9.815517
"328",-1839003.36579783,1335560.28034679,1.012766
"329",-1861397.0137262,1095571.1672381,9.285965
"330",1237822.11188792,36155.7284199388,8.430435
"331",1238483.47078289,26971.7569466608,9.742105
