"","V1","V2","V3"
"590",31.5,-100.5,0.112
"591",31.5,-99.5,0.058
"592",31.5,-98.5,0.049
"593",31.5,-97.5,0.057
"594",31.5,-96.5,0.051
"595",31.5,-95.5,0.049
"596",31.5,-94.5,0.053
"597",31.5,-93.5,0.053
"598",31.5,-92.5,0.053
"599",31.5,-91.5,0.052
"600",31.5,-90.5,0.052
"601",31.5,-89.5,0.058
"602",31.5,-88.5,0.059
"603",31.5,-87.5,0.068
"604",31.5,-86.5,0.075
"605",31.5,-85.5,0.072
"606",31.5,-84.5,0.069
"607",31.5,-83.5,0.079
"608",31.5,-82.5,0.081
"609",31.5,-81.5,0.108
"610",31.5,-80.5,0.133
"611",31.5,-79.5,0.141
"612",31.5,-78.5,0.146
"613",31.5,-77.5,0.139
"614",31.5,-76.5,0.134
"615",31.5,-75.5,0.128
"616",31.5,-74.5,0.126
"617",31.5,-73.5,0.122
"618",31.5,-72.5,0.127
"619",31.5,-71.5,0.121
"620",31.5,-70.5,0.125
"621",31.5,-69.5,0.124
"622",31.5,-68.5,0.116
"623",31.5,-67.5,0.117
"624",31.5,-66.5,0.121
"625",31.5,-65.5,0.123
"626",31.5,-64.5,0.125
"627",31.5,-63.5,0.122
"628",31.5,-62.5,0.122
"629",31.5,-61.5,0.121
"630",31.5,-60.5,0.127
"631",32.5,-129.5,0.108
"632",32.5,-128.5,0.111
"633",32.5,-127.5,0.119
"634",32.5,-126.5,0.112
"635",32.5,-125.5,0.108
"636",32.5,-124.5,0.115
"637",32.5,-123.5,0.116
"638",32.5,-122.5,0.114
"639",32.5,-121.5,0.12
"640",32.5,-120.5,0.109
"641",32.5,-119.5,0.106
"642",32.5,-118.5,0.102
"643",32.5,-117.5,0.115
"644",32.5,-116.5,0.028
"645",32.5,-115.5,0.18
"646",32.5,-114.5,0.21
"647",32.5,-113.5,0.243
"648",32.5,-112.5,0.255
"649",32.5,-111.5,0.226
"650",32.5,-110.5,0.178
"651",32.5,-109.5,0.214
"652",32.5,-108.5,0.157
"653",32.5,-107.5,0.224
"654",32.5,-106.5,0.244
"655",32.5,-105.5,0.115
"656",32.5,-104.5,0.198
"657",32.5,-103.5,0.114
"658",32.5,-102.5,0.054
"659",32.5,-101.5,0.094
"660",32.5,-100.5,0.067
"661",32.5,-99.5,0.045
"662",32.5,-98.5,0.042
"663",32.5,-97.5,0.072
"664",32.5,-96.5,0.074
"665",32.5,-95.5,0.053
"666",32.5,-94.5,0.049
"667",32.5,-93.5,0.048
"668",32.5,-92.5,0.052
"669",32.5,-91.5,0.068
"670",32.5,-90.5,0.06
"671",32.5,-89.5,0.068
"672",32.5,-88.5,0.067
"673",32.5,-87.5,0.071
"674",32.5,-86.5,0.07
"675",32.5,-85.5,0.063
"676",32.5,-84.5,0.065
"677",32.5,-83.5,0.073
"678",32.5,-82.5,0.071
"679",32.5,-81.5,0.076
"680",32.5,-80.5,0.119
"681",32.5,-79.5,0.142
"682",32.5,-78.5,0.138
"683",32.5,-77.5,0.14
"684",32.5,-76.5,0.137
